name,coordinates_latitude,coordinates_longitude,rating,url
Today Hawaiian BBQ,39.8637627,-104.9790845,4,https://www.yelp.com/biz/today-hawaiian-bbq-thornton?adjust_creative=dA2KAjfeS2xTSTN05sX1nw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dA2KAjfeS2xTSTN05sX1nw
Tea Story Boba Milk Tea,39.6798477,-104.9593823,3.5,https://www.yelp.com/biz/tea-story-boba-milk-tea-denver?adjust_creative=dA2KAjfeS2xTSTN05sX1nw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dA2KAjfeS2xTSTN05sX1nw
Beau'TEA' Bubbles,39.72748,-104.90371,5,https://www.yelp.com/biz/beautea-bubbles-denver?adjust_creative=dA2KAjfeS2xTSTN05sX1nw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dA2KAjfeS2xTSTN05sX1nw
World Juice Bar,39.862456,-105.051592,2,https://www.yelp.com/biz/world-juice-bar-westminster-5?adjust_creative=dA2KAjfeS2xTSTN05sX1nw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dA2KAjfeS2xTSTN05sX1nw
Lollicup,39.68774,-104.94095,4,https://www.yelp.com/biz/lollicup-denver-2?adjust_creative=dA2KAjfeS2xTSTN05sX1nw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dA2KAjfeS2xTSTN05sX1nw
ViVi Pho,39.7022996,-104.9404851,4.5,https://www.yelp.com/biz/vivi-pho-glendale?adjust_creative=dA2KAjfeS2xTSTN05sX1nw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dA2KAjfeS2xTSTN05sX1nw
Tea Cloud,39.7473577,-104.9927711,3.5,https://www.yelp.com/biz/tea-cloud-denver?adjust_creative=dA2KAjfeS2xTSTN05sX1nw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dA2KAjfeS2xTSTN05sX1nw
Kung Fu Tea,39.65323444,-104.9162876,4.5,https://www.yelp.com/biz/kung-fu-tea-denver-2?adjust_creative=dA2KAjfeS2xTSTN05sX1nw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dA2KAjfeS2xTSTN05sX1nw
BAMBU,39.69589,-105.02548,4,https://www.yelp.com/biz/bambu-denver?adjust_creative=dA2KAjfeS2xTSTN05sX1nw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dA2KAjfeS2xTSTN05sX1nw
In Tea,39.6137047,-105.0167922,4.5,https://www.yelp.com/biz/in-tea-littleton-2?adjust_creative=dA2KAjfeS2xTSTN05sX1nw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dA2KAjfeS2xTSTN05sX1nw
Lollicup,39.69773,-105.02469,3.5,https://www.yelp.com/biz/lollicup-denver?adjust_creative=dA2KAjfeS2xTSTN05sX1nw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dA2KAjfeS2xTSTN05sX1nw
Bambu,39.67906,-104.95919,4,https://www.yelp.com/biz/bambu-denver-2?adjust_creative=dA2KAjfeS2xTSTN05sX1nw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dA2KAjfeS2xTSTN05sX1nw
Tbaar,39.6799751,-104.941285,4.5,https://www.yelp.com/biz/tbaar-denver-2?adjust_creative=dA2KAjfeS2xTSTN05sX1nw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dA2KAjfeS2xTSTN05sX1nw
Tea Story Boba Milk Tea,39.6798477,-104.9593823,3.5,https://www.yelp.com/biz/tea-story-boba-milk-tea-denver?adjust_creative=dA2KAjfeS2xTSTN05sX1nw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dA2KAjfeS2xTSTN05sX1nw
Beau'TEA' Bubbles,39.72748,-104.90371,5,https://www.yelp.com/biz/beautea-bubbles-denver?adjust_creative=dA2KAjfeS2xTSTN05sX1nw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dA2KAjfeS2xTSTN05sX1nw
Tea Cloud,39.7473577,-104.9927711,3.5,https://www.yelp.com/biz/tea-cloud-denver?adjust_creative=dA2KAjfeS2xTSTN05sX1nw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dA2KAjfeS2xTSTN05sX1nw
Lollicup,39.68774,-104.94095,4,https://www.yelp.com/biz/lollicup-denver-2?adjust_creative=dA2KAjfeS2xTSTN05sX1nw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dA2KAjfeS2xTSTN05sX1nw
ViVi Pho,39.7022996,-104.9404851,4.5,https://www.yelp.com/biz/vivi-pho-glendale?adjust_creative=dA2KAjfeS2xTSTN05sX1nw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dA2KAjfeS2xTSTN05sX1nw
Kung Fu Tea,39.65323444,-104.9162876,4.5,https://www.yelp.com/biz/kung-fu-tea-denver-2?adjust_creative=dA2KAjfeS2xTSTN05sX1nw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dA2KAjfeS2xTSTN05sX1nw
BAMBU,39.69589,-105.02548,4,https://www.yelp.com/biz/bambu-denver?adjust_creative=dA2KAjfeS2xTSTN05sX1nw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dA2KAjfeS2xTSTN05sX1nw
Lollicup,39.69773,-105.02469,3.5,https://www.yelp.com/biz/lollicup-denver?adjust_creative=dA2KAjfeS2xTSTN05sX1nw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dA2KAjfeS2xTSTN05sX1nw
Tbaar,39.6799751,-104.941285,4.5,https://www.yelp.com/biz/tbaar-denver-2?adjust_creative=dA2KAjfeS2xTSTN05sX1nw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dA2KAjfeS2xTSTN05sX1nw
Bambu,39.67906,-104.95919,4,https://www.yelp.com/biz/bambu-denver-2?adjust_creative=dA2KAjfeS2xTSTN05sX1nw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dA2KAjfeS2xTSTN05sX1nw
Pho 78,39.858455,-105.078838,4,https://www.yelp.com/biz/pho-78-broomfield-2?adjust_creative=dA2KAjfeS2xTSTN05sX1nw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dA2KAjfeS2xTSTN05sX1nw
Today Hawaiian BBQ,39.8637627,-104.9790845,4,https://www.yelp.com/biz/today-hawaiian-bbq-thornton?adjust_creative=dA2KAjfeS2xTSTN05sX1nw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dA2KAjfeS2xTSTN05sX1nw
Tea Story Boba Milk Tea,39.6798477,-104.9593823,3.5,https://www.yelp.com/biz/tea-story-boba-milk-tea-denver?adjust_creative=dA2KAjfeS2xTSTN05sX1nw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dA2KAjfeS2xTSTN05sX1nw
Beau'TEA' Bubbles,39.72748,-104.90371,5,https://www.yelp.com/biz/beautea-bubbles-denver?adjust_creative=dA2KAjfeS2xTSTN05sX1nw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dA2KAjfeS2xTSTN05sX1nw
World Juice Bar,39.862456,-105.051592,2,https://www.yelp.com/biz/world-juice-bar-westminster-5?adjust_creative=dA2KAjfeS2xTSTN05sX1nw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dA2KAjfeS2xTSTN05sX1nw
